,allow_forking,commit_count,created_at,forks,github_pages,license,name,open_issues,size,star_count,topics_count,total_issue_count,updated_at,url,watchers_count,contributor_count
81,1.0,84,2018-06-21T17:15:32Z,1144.0,1.0,Apache License 2.0,iampawan/Flutter-UI-Kit,11.0,55942.0,5838.0,3.0,35.0,2022-05-26T14:06:00Z,https://github.com/iampawan/Flutter-UI-Kit,5838.0,5
82,1.0,980,2020-07-15T04:04:58Z,434.0,0.0,MIT License,nvim-telescope/telescope.nvim,150.0,3496.0,5844.0,4.0,1023.0,2022-05-28T09:01:17Z,https://github.com/nvim-telescope/telescope.nvim,5844.0,222
83,1.0,1145,2012-09-07T15:50:43Z,1443.0,1.0,MIT License,mgcrea/angular-strap,0.0,11579.0,5816.0,0.0,1655.0,2022-05-28T09:32:27Z,https://github.com/mgcrea/angular-strap,5816.0,171
84,1.0,1326,2015-09-08T14:04:24Z,1044.0,0.0,MIT License,sshahine/JFoenix,110.0,28243.0,5894.0,5.0,1077.0,2022-05-27T22:29:38Z,https://github.com/sshahine/JFoenix,5894.0,81
85,1.0,822,2008-07-14T21:43:50Z,1432.0,0.0,Other,pokeb/asi-http-request,169.0,7160.0,5820.0,0.0,292.0,2022-05-18T12:19:55Z,https://github.com/pokeb/asi-http-request,5820.0,66
86,1.0,3683,2016-08-30T13:47:17Z,372.0,1.0,MIT License,kulshekhar/ts-jest,34.0,32896.0,5820.0,3.0,831.0,2022-05-27T17:36:29Z,https://github.com/kulshekhar/ts-jest,5820.0,154
87,1.0,77495,2011-05-02T08:06:26Z,2299.0,0.0,GNU General Public License v2.0,qgis/QGIS,3591.0,2615622.0,5816.0,0.0,27525.0,2022-05-27T15:35:31Z,https://github.com/qgis/QGIS,5816.0,639
88,1.0,91,2016-10-12T22:53:20Z,218.0,0.0,Not Found,open-source-ideas/ideas,235.0,118.0,5854.0,6.0,306.0,2022-05-26T19:54:39Z,https://github.com/open-source-ideas/ideas,5854.0,13
89,1.0,46,2019-10-21T09:13:26Z,964.0,0.0,Not Found,biancangming/wtv,5.0,350.0,5896.0,2.0,19.0,2022-05-28T10:59:43Z,https://github.com/biancangming/wtv,5896.0,4
90,1.0,181,2019-09-29T13:11:44Z,587.0,1.0,Other,andreasbm/web-skills,48.0,122455.0,5829.0,13.0,44.0,2022-05-28T03:05:33Z,https://github.com/andreasbm/web-skills,5829.0,4
91,1.0,198,2018-08-05T06:41:07Z,933.0,0.0,MIT License,lancopku/pkuseg-python,113.0,4380.0,5868.0,1.0,150.0,2022-05-28T04:39:28Z,https://github.com/lancopku/pkuseg-python,5868.0,6
92,1.0,26,2012-02-04T00:52:41Z,1668.0,0.0,Not Found,hak5darren/USB-Rubber-Ducky,131.0,32656.0,5826.0,0.0,158.0,2022-05-28T10:51:44Z,https://github.com/hak5darren/USB-Rubber-Ducky,5826.0,6
93,1.0,8299,2015-08-30T07:22:51Z,688.0,0.0,GNU General Public License v3.0,guardicore/monkey,198.0,40099.0,5813.0,4.0,848.0,2022-05-27T23:04:58Z,https://github.com/guardicore/monkey,5813.0,52
94,1.0,215,2011-04-14T14:28:29Z,948.0,0.0,zlib License,michaeltyson/TPKeyboardAvoiding,99.0,237.0,5811.0,0.0,193.0,2022-05-28T09:15:34Z,https://github.com/michaeltyson/TPKeyboardAvoiding,5811.0,59
95,1.0,7651,2014-01-09T20:43:43Z,841.0,0.0,GNU General Public License v2.0,LMMS/lmms,998.0,90254.0,5827.0,4.0,3865.0,2022-05-28T08:15:33Z,https://github.com/LMMS/lmms,5827.0,242
96,1.0,312,2017-12-14T08:55:43Z,1296.0,0.0,Apache License 2.0,yangchong211/YCBlogs,12.0,65179.0,5813.0,0.0,21.0,2022-05-28T11:40:03Z,https://github.com/yangchong211/YCBlogs,5813.0,2
97,1.0,525,2012-06-12T19:00:26Z,602.0,1.0,MIT License,imsky/holder,28.0,1556.0,5810.0,1.0,166.0,2022-05-20T15:52:01Z,https://github.com/imsky/holder,5810.0,40
98,1.0,97,2019-02-12T03:22:19Z,191.0,0.0,MIT License,dwarvesf/hidden,51.0,3970.0,6044.0,3.0,128.0,2022-05-28T10:16:22Z,https://github.com/dwarvesf/hidden,6044.0,18
99,1.0,119,2019-04-18T19:09:26Z,233.0,0.0,MIT License,coder/sshcode,44.0,799.0,5806.0,0.0,123.0,2022-05-28T07:43:58Z,https://github.com/coder/sshcode,5806.0,17
