,name,url,star_count,license,contributor_count,size,watchers_count,forks,github_pages,open_issues,topics_count,created_at,updated_at,allow_forking,licence
183,lk-geimfari/awesomo,https://github.com/lk-geimfari/awesomo,8328,Other,30,1284,8328,623,False,10,19,2016-12-13T17:44:11Z,2022-04-06T09:48:59Z,True,
184,lauris/awesome-scala,https://github.com/lauris/awesome-scala,8342,Apache License 2.0,30,1706,8342,1259,False,1,5,2014-07-08T08:13:52Z,2022-04-07T12:27:02Z,True,
185,ytisf/theZoo,https://github.com/ytisf/theZoo,8302,Other,17,1041055,8302,2143,True,54,6,2014-01-09T18:55:35Z,2022-04-07T13:39:20Z,True,
186,microsoft/qlib,https://github.com/microsoft/qlib,8275,MIT License,30,15573,8275,1454,False,165,18,2020-08-14T06:46:00Z,2022-04-07T14:09:09Z,True,
187,giampaolo/psutil,https://github.com/giampaolo/psutil,8258,"BSD 3-Clause ""New"" or ""Revised"" License",30,35459,8258,1231,False,238,16,2014-05-23T14:01:48Z,2022-04-07T09:57:17Z,True,
188,nodejs/node-gyp,https://github.com/nodejs/node-gyp,8266,MIT License,30,4922,8266,1603,False,158,5,2012-02-03T05:50:50Z,2022-04-07T11:29:51Z,True,
189,benoitc/gunicorn,https://github.com/benoitc/gunicorn,8238,Other,30,4363,8238,1545,True,436,5,2009-11-30T18:18:08Z,2022-04-07T08:35:01Z,True,
190,wkentaro/labelme,https://github.com/wkentaro/labelme,8267,Other,30,46225,8267,2529,False,139,9,2016-05-09T12:30:26Z,2022-04-07T14:30:10Z,True,
191,rq/rq,https://github.com/rq/rq,8218,Other,30,3670,8218,1282,True,188,11,2011-11-14T10:53:48Z,2022-04-07T14:12:49Z,True,
192,clips/pattern,https://github.com/clips/pattern,8191,"BSD 3-Clause ""New"" or ""Revised"" License",19,52330,8191,1584,False,172,7,2011-05-03T15:29:01Z,2022-04-05T22:49:22Z,True,
193,ludwig-ai/ludwig,https://github.com/ludwig-ai/ludwig,8187,Apache License 2.0,30,22123,8187,980,False,178,17,2018-12-27T23:58:12Z,2022-04-07T14:07:23Z,True,
194,borgbackup/borg,https://github.com/borgbackup/borg,8177,Other,30,22585,8177,624,False,604,11,2015-05-12T23:10:47Z,2022-04-07T09:55:34Z,True,
195,MrS0m30n3/youtube-dl-gui,https://github.com/MrS0m30n3/youtube-dl-gui,8195,The Unlicense,22,2329,8195,1488,True,188,14,2014-03-01T17:11:10Z,2022-04-07T11:00:39Z,True,
196,Yorko/mlcourse.ai,https://github.com/Yorko/mlcourse.ai,8157,Other,3,398527,8157,5392,True,3,17,2017-02-27T08:32:20Z,2022-04-07T12:54:07Z,True,
197,30-seconds/30-seconds-of-python,https://github.com/30-seconds/30-seconds-of-python,8128,Creative Commons Attribution 4.0 International,30,68456,8128,1236,False,2,8,2018-01-08T12:17:16Z,2022-04-06T13:30:43Z,True,
198,ReFirmLabs/binwalk,https://github.com/ReFirmLabs/binwalk,8131,MIT License,30,45199,8131,1252,False,142,0,2013-11-15T20:45:40Z,2022-04-07T08:17:40Z,True,
199,sloria/TextBlob,https://github.com/sloria/TextBlob,8100,MIT License,27,7872,8100,1077,False,102,7,2013-06-30T18:29:18Z,2022-04-05T09:23:15Z,True,
