,name,url,star_count,license,contributor_count,size,watchers_count,forks,github_pages,open_issues,topics_count,created_at,updated_at,allow_forking,total_issue_count,commit_count,licence
15,scipy/scipy,https://github.com/scipy/scipy,9527,"BSD 3-Clause ""New"" or ""Revised"" License",1264,145990,9527,4214,False,1760,5,2011-03-09T18:52:03Z,2022-04-27T15:37:25Z,True,8110,27737,
16,vipstone/faceai,https://github.com/vipstone/faceai,9500,MIT License,4,40473,9500,2360,False,34,5,2018-04-17T08:44:17Z,2022-04-28T09:21:34Z,True,44,150,
17,dmlc/dgl,https://github.com/dmlc/dgl,9426,Apache License 2.0,200,17841,9426,2205,False,254,2,2018-04-20T14:49:09Z,2022-04-28T09:32:58Z,True,1434,2223,
18,wistbean/learn_python3_spider,https://github.com/wistbean/learn_python3_spider,9518,MIT License,9,22524,9518,2627,False,16,3,2019-04-02T20:19:54Z,2022-04-28T07:22:04Z,True,42,68,
19,Asabeneh/30-Days-Of-Python,https://github.com/Asabeneh/30-Days-Of-Python,9558,,8,29620,9558,2244,False,51,2,2019-11-19T17:24:16Z,2022-04-28T08:40:36Z,True,39,366,Not Found
20,lyhue1991/eat_tensorflow2_in_30_days,https://github.com/lyhue1991/eat_tensorflow2_in_30_days,9440,Apache License 2.0,3,61313,9440,2401,True,25,4,2020-02-15T09:00:37Z,2022-04-28T08:52:57Z,True,66,271,
21,nbedos/termtosvg,https://github.com/nbedos/termtosvg,9394,"BSD 3-Clause ""New"" or ""Revised"" License",14,1400,9394,418,True,12,8,2018-06-09T13:52:09Z,2022-04-28T00:16:04Z,True,86,190,
22,matrix-org/synapse,https://github.com/matrix-org/synapse,9372,Apache License 2.0,403,196208,9372,1737,True,1361,3,2014-08-11T15:51:42Z,2022-04-28T01:50:52Z,True,5061,20579,
23,programthink/zhao,https://github.com/programthink/zhao,9369,GNU General Public License v3.0,4,72400,9369,2426,False,302,0,2016-02-28T15:38:57Z,2022-04-28T09:10:55Z,True,398,480,
24,mwaskom/seaborn,https://github.com/mwaskom/seaborn,9364,"BSD 3-Clause ""New"" or ""Revised"" License",166,52881,9364,1587,False,119,5,2012-06-18T18:41:19Z,2022-04-27T22:58:25Z,True,2001,2821,
25,cookiecutter/cookiecutter-django,https://github.com/cookiecutter/cookiecutter-django,9298,"BSD 3-Clause ""New"" or ""Revised"" License",351,6712,9298,2405,False,121,10,2013-08-14T17:43:31Z,2022-04-28T08:40:54Z,True,1025,5916,
26,pwxcoo/chinese-xinhua,https://github.com/pwxcoo/chinese-xinhua,9366,MIT License,3,36271,9366,2224,False,26,12,2018-02-05T02:51:53Z,2022-04-28T06:54:28Z,True,47,15,
27,darknessomi/musicbox,https://github.com/darknessomi/musicbox,9295,MIT License,61,1869,9295,1592,False,229,4,2014-08-05T03:28:24Z,2022-04-28T04:52:42Z,True,671,613,
